SIZE 10X10X4
LAYER 1
0,0,0,3,3,3,0,0,3,3
0,0,0,3,0,0,0,17,3,5
4,16,4,0,0,3,3,17,3,5
4,16,4,3,10,10,3,11,3,3
0,2,4,3,3,3,3,11,9,9
2,2,4,4,4,0,1,1,9,0
2,1,2,1,4,0,0,1,9,0
6,1,2,1,1,13,13,13,9,9
6,1,1,12,12,1,1,9,0,9
0,12,12,12,0,0,1,9,9,9
LAYER 2
4,0,0,0,0,3,0,17,0,3
4,4,4,3,10,0,10,17,5,3
16,16,4,3,10,3,10,0,5,5
4,2,14,3,10,3,11,11,0,3
0,2,1,1,0,0,0,0,3,3
7,1,1,0,0,0,1,3,3,0
2,1,2,1,4,0,9,1,0,0
6,6,1,13,13,13,9,1,1,0
0,6,1,0,1,1,9,9,4,4
6,12,13,1,1,0,1,15,0,4
LAYER 3
4,4,0,0,0,3,0,17,0,0
16,2,2,5,10,3,3,3,5,3
16,0,0,5,5,10,10,3,8,8
4,2,14,0,0,3,11,3,3,8
7,7,14,1,1,11,11,0,8,8
7,14,14,0,1,11,1,3,8,0
2,0,2,1,4,0,1,3,3,0
0,0,1,13,4,4,1,4,1,0
6,6,13,13,0,0,1,4,4,0
6,0,13,1,19,0,1,15,15,4
LAYER 4
0,4,0,5,5,5,5,17,0,0
4,4,2,5,10,10,5,17,5,0
4,2,2,0,5,10,5,5,5,0
4,2,0,0,0,3,3,0,3,3
14,14,0,0,0,0,0,0,0,3
0,14,0,1,1,11,0,0,3,3
2,2,2,1,19,11,11,4,3,0
0,0,1,0,19,4,0,4,1,0
0,0,1,1,19,4,4,0,1,0
0,18,18,1,19,0,4,4,4,4
